اسم المكتبة,منطقة المكتبة,رقم التواصل,الكتب المتوفرة,اسماء المعلمين 
مكتبة الوطن,السويق,99377767,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
مكتبة الارتقاء,المعبيلة الجنوبية,96771134,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
مجد قريات العالمية,قريات,92586656,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر,
مكتبة روّاد المعرفة,وادي المعاول ونخل,91128028 / 91181138,بصمة خامس، بصمة ثامن، بصمة تاسع,
المكتبة العجيبة,الرستاق,92717838,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة النجوم المضيئة,شناص,71917936,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة كيان,عبري,99707055,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
مكتبة حبر النجاح,إبراء – الحايمة,96312361,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة الشرق الأوسط,صحار – الهمبار,79409444,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة الجاسم,شناص,99099369,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
مكتبة أمجاد المعبيلة,مخزن التوزيع – المعبيلة,92235520,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة سما الإبداع,جعلان بني بوحسن,95450570,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
 مكتبة زهرة المدائن,قريات,92727656,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر,
مكتبة الفضل بن الحواري,إزكي,99200238,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن,
مكتبة دار البيان,لوى,97741422,بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة القلم الأخضر المعبيلة,المعبيلة,92433171,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة روائع نور الاستقامة,سناو,91113314,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع,
مكتبة مكتبة الكوفة,الكامل,99429101,مغني المجيد، بصمة خامس، بصمة ثامن، بصمة تاسع، الإبداع ثامن، البروفيسور حادي عشر، الإصرار في الأحياء تاسع، مفاتيح الإنجليش ثاني عشر,
المرشد التعليمي – نور الشحري,صلالة,96999061,مغني المجيد,
